text,intent,style,length_bucket,split,text_clean
çıkışımı vermişler mi,employment_status_query,normal,kısa,train,çıkışımı vermişler mi
işverenim sigorta girişimi açmış mı,employment_status_query,günlük,orta,train,işverenim sigorta girişimi açmış mı
sgk'da şu an hangi işyerinde aktif olarak kayıtlı göründüğümü ve giriş çıkış tarihlerimi görmek istiyorum,employment_status_query,normal,uzun,train,sgk da şu an hangi işyerinde aktif olarak kayıtlı göründüğümü ve giriş çıkış tarihlerimi görmek istiyorum
yeni işverenimi sgk girişimi ne zaman yapacak,employment_status_query,normal,orta,train,yeni işverenimi sgk girişimi ne zaman yapacak
girişim verilmiş mi kontrol etsem,employment_status_query,normal,orta,validation,girişim verilmiş mi kontrol etsem
eski isyerimden sgk cikisim verilmis mi,employment_status_query,bozuk,orta,validation,eski isyerimden sgk cikisim verilmis mi
i̇ş akdim sona erdi çıkışım verildi mi,employment_status_query,günlük,orta,validation,i ş akdim sona erdi çıkışım verildi mi
birden fazla işyerinde çalıştım her birinin giriş ve çıkış bildirimlerinin yapılıp yapılmadığını kontrol etmek istiyorum,employment_status_query,normal,uzun,validation,birden fazla işyerinde çalıştım her birinin giriş ve çıkış bildirimlerinin yapılıp yapılmadığını kontrol etmek istiyorum
i̇şe giriş bildirimimin yapılıp yapılmadığını öğrenmek istiyom,employment_status_query,günlük,orta,validation,i şe giriş bildirimimin yapılıp yapılmadığını öğrenmek istiyom
işverenimi beni sgk'ya bildirmemiş olabilir bunu nasıl anlayabilirim ve ne yapmalıyım,employment_status_query,normal,uzun,validation,işverenimi beni sgk ya bildirmemiş olabilir bunu nasıl anlayabilirim ve ne yapmalıyım
sgk işyeri kaydı,employment_status_query,normal,kısa,validation,sgk işyeri kaydı
İşverenimi değiştirdim çıkış girişim yapılmış mı,employment_status_query,normal,orta,test,i şverenimi değiştirdim çıkış girişim yapılmış mı
ise giris sorgusu,employment_status_query,bozuk,kısa,test,ise giris sorgusu
işverenimin beni sgk'ya bildirip bildirmediğini öğrenmek istiyorum,employment_status_query,normal,orta,test,işverenimin beni sgk ya bildirip bildirmediğini öğrenmek istiyorum
giriş çıkış durumum,employment_status_query,normal,uzun,test,giriş çıkış durumum
ise baslama kaydim sgk uzerinden gorulebilir mi,employment_status_query,bozuk,uzun,test,ise baslama kaydim sgk uzerinden gorulebilir mi
işveren yeni girişimi yapmış mı öğrenmek istiyorum,employment_status_query,normal,orta,test,işveren yeni girişimi yapmış mı öğrenmek istiyorum
işyeri değişikliğim sgk'ya yansımış mı,employment_status_query,normal,orta,test,işyeri değişikliğim sgk ya yansımış mı
patron sgk ya bildirdi mi beni,employment_status_query,günlük,orta,test,patron sgk ya bildirdi mi beni
sgk işlemleri nasıl yapılır,general_info_query,normal,kısa,train,sgk işlemleri nasıl yapılır
sgk hakkında genel bilgi verir misin,general_info_query,günlük,uzun,train,sgk hakkında genel bilgi verir misin
sgk nası çalışıyo anlamıyorum,general_info_query,günlük,kısa,train,sgk nası çalışıyo anlamıyorum
sgknin bana sagladigi haklar ve guvenceler hakkinda genel bilgi almak istiyorum,general_info_query,bozuk,uzun,train,sgknin bana sagladigi haklar ve guvenceler hakkinda genel bilgi almak istiyorum
sgk işlemlerini e-devlet üzerinden mi yoksa doğrudan sgk şubesinden mi yapmak daha kolay,general_info_query,normal,uzun,train,sgk işlemlerini e devlet üzerinden mi yoksa doğrudan sgk şubesinden mi yapmak daha kolay
emeklilik saglik ve diger sgk hizmetleri hakkinda genel bir bilgilendirme yapabilir misiniz,general_info_query,bozuk,uzun,train,emeklilik saglik ve diger sgk hizmetleri hakkinda genel bir bilgilendirme yapabilir misiniz
sosyal güvenlik numarası nedir nasıl alınır,general_info_query,normal,orta,train,sosyal güvenlik numarası nedir nasıl alınır
sosyal güvenlik sistemine ilk kez dahil olacağım sgk kaydı için ne yapmalıyım,general_info_query,normal,uzun,train,sosyal güvenlik sistemine ilk kez dahil olacağım sgk kaydı için ne yapmalıyım
sgk işlemlerine ilk kez başlayacağım temel bilgi lazım,general_info_query,günlük,orta,train,sgk işlemlerine ilk kez başlayacağım temel bilgi lazım
sigorta sistemi nasıl çalışıyor öğrenmek istiyorum,general_info_query,normal,orta,train,sigorta sistemi nasıl çalışıyor öğrenmek istiyorum
SGK'ya nasıl kayıt olunur,general_info_query,normal,kısa,train,sgk ya nasıl kayıt olunur
sgk sistemi hakkında başlangıç seviyesinde bilgi verir misin,general_info_query,normal,orta,train,sgk sistemi hakkında başlangıç seviyesinde bilgi verir misin
sgk'ya ilk kez kayıt nası yapılır,general_info_query,günlük,orta,train,sgk ya ilk kez kayıt nası yapılır
sgk genel bilgi,general_info_query,normal,uzun,train,sgk genel bilgi
sgk dan nasıl faydalanıcam,general_info_query,normal,kısa,train,sgk dan nasıl faydalanıcam
sigortalı olmak için genel olarak hangi adımlar izleniyor,general_info_query,normal,uzun,train,sigortalı olmak için genel olarak hangi adımlar izleniyor
sgk dan nası yararlanırım,general_info_query,günlük,kısa,train,sgk dan nası yararlanırım
sosyal guvenlik sistemi nasil isliyor,general_info_query,bozuk,orta,train,sosyal guvenlik sistemi nasil isliyor
sgk hakkinda bilgi almak istiyorum,general_info_query,bozuk,orta,train,sgk hakkinda bilgi almak istiyorum
Sosyal Güvenlik Kurumu'nun görevleri nelerdir,general_info_query,normal,orta,train,sosyal güvenlik kurumu nun görevleri nelerdir
sgk üyeliği var mı nasıl olunur,general_info_query,normal,orta,train,sgk üyeliği var mı nasıl olunur
sigorta sistemi nasıl işliyor,general_info_query,normal,uzun,train,sigorta sistemi nasıl işliyor
sgk nasıl çalışıyor,general_info_query,normal,kısa,train,sgk nasıl çalışıyor
sgk'nın sunduğu hizmetler hakkında bilgi almak istiyorum,general_info_query,günlük,orta,train,sgk nın sunduğu hizmetler hakkında bilgi almak istiyorum
sgk ile ilgili genel bilgi almak istiyorum,general_info_query,günlük,orta,train,sgk ile ilgili genel bilgi almak istiyorum
sgk ne işe yarar,general_info_query,normal,kısa,train,sgk ne işe yarar
sgk nedir kisaca aciklar misin,general_info_query,bozuk,uzun,train,sgk nedir kisaca aciklar misin
SGK hizmetlerine nasıl erişebilirim,general_info_query,normal,kısa,train,sgk hizmetlerine nasıl erişebilirim
sosyal sigorta sistemi hakkında bilgi verir misiniz,general_info_query,günlük,orta,train,sosyal sigorta sistemi hakkında bilgi verir misiniz
e-Devlet üzerinden SGK işlemleri nasıl yapılır,general_info_query,normal,orta,train,e devlet üzerinden sgk işlemleri nasıl yapılır
sgk ile hangi işlemler yapılabiliyor genel bilgi istiyorum,general_info_query,normal,uzun,train,sgk ile hangi işlemler yapılabiliyor genel bilgi istiyorum
sgk ya nasıl kayıt olunuyo,general_info_query,normal,orta,train,sgk ya nasıl kayıt olunuyo
sigorta süreci hakkında temel bilgi almak istiyorum,general_info_query,günlük,orta,train,sigorta süreci hakkında temel bilgi almak istiyorum
sgk hakkında bir şey bilmiyorum,general_info_query,normal,uzun,train,sgk hakkında bir şey bilmiyorum
sgk yı anlatır mısın,general_info_query,normal,kısa,train,sgk yı anlatır mısın
sgk işlemlerini nasıl halledebilirim,general_info_query,normal,kısa,validation,sgk işlemlerini nasıl halledebilirim
sgknin temel hizmetleri nelerdir,general_info_query,bozuk,kısa,validation,sgknin temel hizmetleri nelerdir
sgk ve bağkur arasındaki fark nedir,general_info_query,günlük,uzun,validation,sgk ve bağkur arasındaki fark nedir
sgk'nın hangi hizmetleri sunduğunu ve bu hizmetlerden nasıl yararlanabileceğimi öğrenmek istiyorum,general_info_query,normal,uzun,validation,sgk nın hangi hizmetleri sunduğunu ve bu hizmetlerden nasıl yararlanabileceğimi öğrenmek istiyorum
sgk'nın çalışma prensibi nedir,general_info_query,günlük,uzun,validation,sgk nın çalışma prensibi nedir
sgk ne işe yarıyo,general_info_query,normal,kısa,validation,sgk ne işe yarıyo
sgk işlemleri nerde yapılıyo,general_info_query,normal,kısa,validation,sgk işlemleri nerde yapılıyo
sgk şifremi unuttum ne yapmalıyım,general_info_query,normal,orta,test,sgk şifremi unuttum ne yapmalıyım
sgk ne yapiyor,general_info_query,bozuk,kısa,test,sgk ne yapiyor
sgk işlemleri için ne yapmalıyım,general_info_query,normal,uzun,test,sgk işlemleri için ne yapmalıyım
sgk hizmetleri hakkında genel bilgi almak istiyorum,general_info_query,normal,orta,test,sgk hizmetleri hakkında genel bilgi almak istiyorum
genel olarak sigorta islemleri nasil yurutuluyor,general_info_query,bozuk,orta,test,genel olarak sigorta islemleri nasil yurutuluyor
sgk başvuruları için nereden başlamam gerektiğini öğrenmek istiyorum,general_info_query,normal,orta,test,sgk başvuruları için nereden başlamam gerektiğini öğrenmek istiyorum
SGK işlemlerini nereden yapabilirim,general_info_query,normal,kısa,test,sgk işlemlerini nereden yapabilirim
sgk müşteri hizmetleri numarası,general_info_query,günlük,uzun,test,sgk müşteri hizmetleri numarası
hastanede sgk sigortam geçerli mi,health_coverage_query,normal,uzun,train,hastanede sgk sigortam geçerli mi
sgk sağlık kapsamım var mı,health_coverage_query,günlük,uzun,train,sgk sağlık kapsamım var mı
sgk'dan muayene yaptırabilir miyim,health_coverage_query,günlük,kısa,train,sgk dan muayene yaptırabilir miyim
sgk sağlık hizmetlerinden faydalanmak istiyorum ancak hastanede geçerli olup olmadığını bilmiyorum,health_coverage_query,bozuk,uzun,train,sgk sağlık hizmetlerinden faydalanmak istiyorum ancak hastanede geçerli olup olmadığını bilmiyorum
sgk sağlık güvencemi kontrol etmek istiyorum,health_coverage_query,normal,orta,train,sgk sağlık güvencemi kontrol etmek istiyorum
doktora gidebilir miyim sigortamla,health_coverage_query,bozuk,uzun,train,doktora gidebilir miyim sigortamla
sağlık kapsamım hastanede geçerli mi,health_coverage_query,normal,uzun,train,sağlık kapsamım hastanede geçerli mi
sgk sigortalısı olarak hangi hastanelerden ve sağlık hizmetlerinden yararlanabildiğimi öğrenmek istiyorum,health_coverage_query,normal,uzun,train,sgk sigortalısı olarak hangi hastanelerden ve sağlık hizmetlerinden yararlanabildiğimi öğrenmek istiyorum
devlet hastanesinde sgk ile muayene olabilir miyim,health_coverage_query,günlük,orta,train,devlet hastanesinde sgk ile muayene olabilir miyim
sağlık güvencemden hastanede yararlanabilir miyim,health_coverage_query,normal,uzun,train,sağlık güvencemden hastanede yararlanabilir miyim
özel hastanede sgk anlaşması var mı ve sigorta kapsamımda mı,health_coverage_query,normal,uzun,train,özel hastanede sgk anlaşması var mı ve sigorta kapsamımda mı
sağlık hakkım kesilmiş mi kontrol etmek istiyorum,health_coverage_query,normal,orta,train,sağlık hakkım kesilmiş mi kontrol etmek istiyorum
sağlık güvencemi sorguladığımda aktif gözükecek mi yoksa işyeri değişikliği nedeniyle bir kesinti var mı,health_coverage_query,günlük,uzun,train,sağlık güvencemi sorguladığımda aktif gözükecek mi yoksa işyeri değişikliği nedeniyle bir kesinti var mı
Sağlık güvencem hangi hastaneleri kapsıyor,health_coverage_query,normal,orta,train,sağlık güvencem hangi hastaneleri kapsıyor
yeni işe başladım sgk sağlık güvencemi kullanabilmek için ne kadar beklemem gerekiyor,health_coverage_query,normal,uzun,train,yeni işe başladım sgk sağlık güvencemi kullanabilmek için ne kadar beklemem gerekiyor
sağlık provizyonum açık mı öğrenmek istiyorum,health_coverage_query,normal,uzun,train,sağlık provizyonum açık mı öğrenmek istiyorum
sağlık hizmetine erişimim var mı,health_coverage_query,günlük,orta,train,sağlık hizmetine erişimim var mı
sgk sağlık kapsamım hastanede geçiyor mu,health_coverage_query,bozuk,orta,train,sgk sağlık kapsamım hastanede geçiyor mu
muayene ucreti odemem gerekiyor mu sgk kapsamindayim,health_coverage_query,bozuk,orta,train,muayene ucreti odemem gerekiyor mu sgk kapsamindayim
Sağlık sigortam geçerli mi,health_coverage_query,normal,kısa,train,sağlık sigortam geçerli mi
sgk'dan sağlık hizmetlerinden nasıl yararlanabilirim,health_coverage_query,normal,orta,train,sgk dan sağlık hizmetlerinden nasıl yararlanabilirim
hastaneye girsem sgk öder mi,health_coverage_query,normal,orta,train,hastaneye girsem sgk öder mi
Hastanede SGK sigorta güvencemi kullanabilir miyim,health_coverage_query,normal,uzun,train,hastanede sgk sigorta güvencemi kullanabilir miyim
doktora gitsem sgk karşılar mı,health_coverage_query,günlük,uzun,train,doktora gitsem sgk karşılar mı
hastanede sgk kullanabilir miyim,health_coverage_query,günlük,uzun,train,hastanede sgk kullanabilir miyim
Sağlık hakkım devam ediyor mu,health_coverage_query,normal,uzun,train,sağlık hakkım devam ediyor mu
hastanede sigortali olarak islem yaptirabilir miyim,health_coverage_query,bozuk,orta,train,hastanede sigortali olarak islem yaptirabilir miyim
hastaneye girebilir miyim sgk ile,health_coverage_query,normal,orta,train,hastaneye girebilir miyim sgk ile
sgk sağlık kapsamı durumumu öğrenmek istiyom,health_coverage_query,günlük,orta,train,sgk sağlık kapsamı durumumu öğrenmek istiyom
sağlık güvencemi kontrol etmek istiyorum,health_coverage_query,normal,orta,train,sağlık güvencemi kontrol etmek istiyorum
ilaç alırken sağlık güvencem geçerli olur mu,health_coverage_query,normal,orta,train,ilaç alırken sağlık güvencem geçerli olur mu
sgk la hastaneye gidebilir miyim,health_coverage_query,normal,orta,train,sgk la hastaneye gidebilir miyim
muayene için sgk kapsamım açık mı,health_coverage_query,günlük,uzun,train,muayene için sgk kapsamım açık mı
sigortam hastanede geçerli mi,health_coverage_query,normal,kısa,train,sigortam hastanede geçerli mi
SGK'dan sağlık hizmeti alabilir miyim,health_coverage_query,normal,orta,train,sgk dan sağlık hizmeti alabilir miyim
sağlık güvencemin açık olup olmadığını öğrenmek istiyorum,health_coverage_query,normal,orta,validation,sağlık güvencemin açık olup olmadığını öğrenmek istiyorum
saglik hakkim var mi,health_coverage_query,bozuk,kısa,validation,saglik hakkim var mi
sigortam hastanede geçiyo mu,health_coverage_query,günlük,kısa,validation,sigortam hastanede geçiyo mu
sgk sağlıkta geçiyo mu,health_coverage_query,normal,kısa,validation,sgk sağlıkta geçiyo mu
hastanede sgk kartımla işlem yaptırabilir miyim,health_coverage_query,günlük,orta,validation,hastanede sgk kartımla işlem yaptırabilir miyim
sağlık hakkım varmı acaba,health_coverage_query,normal,kısa,validation,sağlık hakkım varmı acaba
devlet hastanesinde sgk kartımla işlem yaptırabilir miyim,health_coverage_query,normal,orta,validation,devlet hastanesinde sgk kartımla işlem yaptırabilir miyim
hastanede geçerli mi,health_coverage_query,normal,kısa,test,hastanede geçerli mi
devlet ve ozel hastanelerde sgk kapsaminda ucretsiz muayene yaptirip yaptiramayacagimi ogrenmek istiyorum,health_coverage_query,bozuk,uzun,test,devlet ve ozel hastanelerde sgk kapsaminda ucretsiz muayene yaptirip yaptiramayacagimi ogrenmek istiyorum
sgk sağlık kapsamımın aktif olup olmadığını öğrenmek istiyorum,health_coverage_query,normal,orta,test,sgk sağlık kapsamımın aktif olup olmadığını öğrenmek istiyorum
Sağlık güvencemi sorgulamak istiyorum,health_coverage_query,normal,kısa,test,sağlık güvencemi sorgulamak istiyorum
sgk kapsaminda tedavi hakkim devam ediyor mu,health_coverage_query,bozuk,orta,test,sgk kapsaminda tedavi hakkim devam ediyor mu
hastaneye gidersem sgk karşılar mı,health_coverage_query,normal,orta,test,hastaneye gidersem sgk karşılar mı
yeşil karttan sgk'ya geçiş yaptım sağlık hakkım başladı mı,health_coverage_query,normal,uzun,test,yeşil karttan sgk ya geçiş yaptım sağlık hakkım başladı mı
sağlık sigortam varmı,health_coverage_query,günlük,kısa,test,sağlık sigortam varmı
sigortam var mı öğrenmek istiyorum,insurance_status_query,normal,orta,train,sigortam var mı öğrenmek istiyorum
üstüme sigorta girmiş mi,insurance_status_query,günlük,kısa,train,üstüme sigorta girmiş mi
sigorta durumumu sorgulamak istiyorum,insurance_status_query,günlük,kısa,train,sigorta durumumu sorgulamak istiyorum
sgk ya kayitli miyim,insurance_status_query,bozuk,kısa,train,sgk ya kayitli miyim
sgk kaydım aktif mi öğrenmek istiyorum,insurance_status_query,normal,orta,train,sgk kaydım aktif mi öğrenmek istiyorum
sigortalilik durumumu ve hangi tarihten itibaren sigortali gorundugumu ogrenmek istiyorum,insurance_status_query,bozuk,uzun,train,sigortalilik durumumu ve hangi tarihten itibaren sigortali gorundugumu ogrenmek istiyorum
sgk prim girişim yapılmış mı bu ay,insurance_status_query,normal,uzun,train,sgk prim girişim yapılmış mı bu ay
SGK'ya kayıtlı olup olmadığımı öğrenmek istiyorum,insurance_status_query,normal,uzun,train,sgk ya kayıtlı olup olmadığımı öğrenmek istiyorum
üzerime sigorta tescili yapılmış mı,insurance_status_query,günlük,orta,train,üzerime sigorta tescili yapılmış mı
Sigorta kaydımın aktif görünüp görünmediğini sorgulamak istiyorum,insurance_status_query,normal,uzun,train,sigorta kaydımın aktif görünüp görünmediğini sorgulamak istiyorum
Şu an sigortalı mıyım değil miyim öğrenmek istiyorum,insurance_status_query,normal,uzun,train,şu an sigortalı mıyım değil miyim öğrenmek istiyorum
adımda çalışan sigorta görünüyor mu,insurance_status_query,normal,uzun,train,adımda çalışan sigorta görünüyor mu
şu an hangi işyerinde sigortalı gözüküyoum,insurance_status_query,günlük,uzun,train,şu an hangi işyerinde sigortalı gözüküyoum
üzerime herhangi bir işveren tarafından aktif sigorta girişi yapılmış mı bunu kontrol etmek istiyorum,insurance_status_query,normal,uzun,train,üzerime herhangi bir işveren tarafından aktif sigorta girişi yapılmış mı bunu kontrol etmek istiyorum
sigorta başlangıç tarihimi öğrenmek istiyorum,insurance_status_query,normal,orta,train,sigorta başlangıç tarihimi öğrenmek istiyorum
üzerimde açık bir sgk kaydı bulunuyor mu,insurance_status_query,normal,orta,train,üzerimde açık bir sgk kaydı bulunuyor mu
sigortam var mı,insurance_status_query,günlük,kısa,train,sigortam var mı
sgkda gorunuyor muyum,insurance_status_query,bozuk,kısa,train,sgkda gorunuyor muyum
aktif sigortali olup olmadigimi ogrenmek istiyorum,insurance_status_query,bozuk,uzun,train,aktif sigortali olup olmadigimi ogrenmek istiyorum
sigorta var mı üstümde,insurance_status_query,normal,uzun,train,sigorta var mı üstümde
sgk da görünüyom mu,insurance_status_query,normal,uzun,train,sgk da görünüyom mu
yeni işe başladım işverenimi sgk'ya bildirdi mi ve aktif sigortalı görünüp görünmediğimi öğrenmek istiyorum,insurance_status_query,normal,uzun,train,yeni işe başladım işverenimi sgk ya bildirdi mi ve aktif sigortalı görünüp görünmediğimi öğrenmek istiyorum
işyeri değişikliği yaptım eski işyerimden çıkışım verildi mi ve yeni işyerinde sigortam başladı mı,insurance_status_query,normal,uzun,train,işyeri değişikliği yaptım eski işyerimden çıkışım verildi mi ve yeni işyerinde sigortam başladı mı
aktif sigortalı mıyım,insurance_status_query,günlük,kısa,train,aktif sigortalı mıyım
sgk kaydım var mı,insurance_status_query,günlük,kısa,train,sgk kaydım var mı
Aktif sigorta kaydım var mı,insurance_status_query,normal,orta,train,aktif sigorta kaydım var mı
isverenimi degistirdim yeni sigorta kaydim olustu mu,insurance_status_query,bozuk,orta,train,isverenimi degistirdim yeni sigorta kaydim olustu mu
sigortam çalışıyo mu,insurance_status_query,normal,kısa,train,sigortam çalışıyo mu
sigortalı statümü sorgulamak istiyorum,insurance_status_query,günlük,uzun,train,sigortalı statümü sorgulamak istiyorum
sgk'da aktif olarak görünüp görünmediğimi sorgulamak istiyorum,insurance_status_query,normal,uzun,train,sgk da aktif olarak görünüp görünmediğimi sorgulamak istiyorum
şu anda aktif sigorta kapsamında mıyım,insurance_status_query,normal,orta,train,şu anda aktif sigorta kapsamında mıyım
sigortam aktif mi,insurance_status_query,normal,kısa,train,sigortam aktif mi
aktif sigorta durumumu kontrol etmek istiyorum,insurance_status_query,günlük,orta,train,aktif sigorta durumumu kontrol etmek istiyorum
sigorta aktif mi acaba,insurance_status_query,normal,kısa,train,sigorta aktif mi acaba
sgk aktif mi,insurance_status_query,normal,kısa,train,sgk aktif mi
sgk sisteminde şu an aktif sigortalı olarak kayıtlı olup olmadığımı nasıl öğrenebilirim,insurance_status_query,normal,uzun,validation,sgk sisteminde şu an aktif sigortalı olarak kayıtlı olup olmadığımı nasıl öğrenebilirim
sigorta durumumu ogrenmek istiyorum,insurance_status_query,bozuk,kısa,validation,sigorta durumumu ogrenmek istiyorum
sgk sisteminde aktif kaydım var mı,insurance_status_query,günlük,orta,validation,sgk sisteminde aktif kaydım var mı
şu anda sigortalı olup olmadığımı öğrenmek istiyorum,insurance_status_query,normal,orta,validation,şu anda sigortalı olup olmadığımı öğrenmek istiyorum
i̇şverenimi değiştirdim sigorta girişim yapılmış mı,insurance_status_query,günlük,orta,validation,i şverenimi değiştirdim sigorta girişim yapılmış mı
sigorta girişim yapıldı mı,insurance_status_query,normal,uzun,validation,sigorta girişim yapıldı mı
işe girdim sigortam var mı,insurance_status_query,normal,orta,validation,işe girdim sigortam var mı
aktif sigortam olup olmadığını öğrenmek istiyorum,insurance_status_query,normal,uzun,test,aktif sigortam olup olmadığını öğrenmek istiyorum
uzerime aktif bir sigorta girisi yapilmis mi,insurance_status_query,bozuk,orta,test,uzerime aktif bir sigorta girisi yapilmis mi
sgk ya girişim yapılmış mı,insurance_status_query,normal,orta,test,sgk ya girişim yapılmış mı
üzerime sigorta girilmiş mi,insurance_status_query,normal,kısa,test,üzerime sigorta girilmiş mi
sigorta kaydim hâlâ devam ediyor mu,insurance_status_query,bozuk,uzun,test,sigorta kaydim hâlâ devam ediyor mu
şu an aktif ssk kaydım var mı,insurance_status_query,normal,orta,test,şu an aktif ssk kaydım var mı
SGK'da sigortalı görünüyor muyum,insurance_status_query,normal,kısa,test,sgk da sigortalı görünüyor muyum
sigortalı gözüküyoum mu,insurance_status_query,günlük,uzun,test,sigortalı gözüküyoum mu
gün sayım kaç sgk'da,premium_days_query,normal,kısa,train,gün sayım kaç sgk da
prim günlerimi görmek istiyom,premium_days_query,günlük,kısa,train,prim günlerimi görmek istiyom
toplam prim günüm kaç oldu,premium_days_query,günlük,uzun,train,toplam prim günüm kaç oldu
sgkdaki toplam gun sayimi gormek istiyorum,premium_days_query,bozuk,orta,train,sgkdaki toplam gun sayimi gormek istiyorum
Birikmiş prim günlerimi görüntülemek istiyorum,premium_days_query,normal,orta,train,birikmiş prim günlerimi görüntülemek istiyorum
toplam prim gun sayimi ogrenmek istiyorum,premium_days_query,bozuk,orta,train,toplam prim gun sayimi ogrenmek istiyorum
sgk'da biriken toplam prim gün sayım ne kadar ve bunu nasıl görebilirim,premium_days_query,normal,uzun,train,sgk da biriken toplam prim gün sayım ne kadar ve bunu nasıl görebilirim
Toplam çalışma günümü sgk üzerinden öğrenmek istiyorum,premium_days_query,normal,orta,train,toplam çalışma günümü sgk üzerinden öğrenmek istiyorum
bugüne kadar biriken toplam prim günümü görmek istiyom,premium_days_query,günlük,orta,train,bugüne kadar biriken toplam prim günümü görmek istiyom
Kaç günlük sigortalılık sürem var,premium_days_query,normal,orta,train,kaç günlük sigortalılık sürem var
sgk günüm kaç acaba,premium_days_query,normal,kısa,train,sgk günüm kaç acaba
sgk sisteminde görünen prim gün sayım kaç,premium_days_query,normal,orta,train,sgk sisteminde görünen prim gün sayım kaç
sgk'da biriken prim günlerimi görmek istiyom,premium_days_query,günlük,uzun,train,sgk da biriken prim günlerimi görmek istiyom
SGK'da kaç günlük primim birikmiş,premium_days_query,normal,orta,train,sgk da kaç günlük primim birikmiş
kaç günlük sigortam var,premium_days_query,normal,uzun,train,kaç günlük sigortam var
kaç günlük sigorta kaydım oluştu öğrenmek istiyorum,premium_days_query,normal,orta,train,kaç günlük sigorta kaydım oluştu öğrenmek istiyorum
kaç günlük primim var,premium_days_query,günlük,kısa,train,kaç günlük primim var
tum sigortalilik donemim boyunca biriken prim gun sayisina nasil ulasabilirim,premium_days_query,bozuk,uzun,train,tum sigortalilik donemim boyunca biriken prim gun sayisina nasil ulasabilirim
